
qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Ship_Control|선박 조종
qstr__VERY_IMPORTANT:_How| VERY IMPORTANT: How does the gamemode Warlords Battle work?^^1. If you are lord, then in the inventory menu you can choose the type of troop command you'd like. If you have more money than usual it's because you need to pay your troops. What does this mean? That all the money you don't spend on buying equipment will be used for wages to battlefield troops (more money = more troops). ^Each basic troop normally costs 50 coins, but if a unit is < level 21, it costs +50 coins. If a unit is < level 25, by each level it cost you +30 coins. And if a unit has horse +50 coins. Keep this in mind when designing your army. Do you prefer quantity over quality? . ^^2. If you are an elite troop no need to worry about recruiting troops, spend all your money equipping the best gear; you have to be a battle champion, someone important, so your performance in battle is essential. ^ Killing, healing allied troops, exploring the territory, taking orders from lords, is all crucial. Also, if the lords fall, the task of leading the troops will fall upon you.^^(press K to finish reading)
qstr__{s18}_{s1}| {s18} {s1},
qstr__None| 없음
qstr__Next_pay_day:_{s1}| 다음 결산일: {s1}
qstr_{s1}^^Affiliated_to_|{s1}^^ {s5}에 속한
qstr_You_can_t_have_more_|당신은 두 개 이상의 활성화된 분대를 가질 수 없습니다.
qstr_No_companions_in_par|부대안에 동료가 없습니다!
qstr_You_came_into_the_wo|당신은 가진 것이라곤 살고 있는 집이 전부인 몰락한 귀족의 {reg3?딸:아들}로 태어났습니다. 당신의 가족은 재정적 고난에도 불구하고, 당신이 어린 시절을 귀족의 저택에서 엄격한 궁중교육을 받을 수 있는 기회를 부여해줬습니다.
qstr_You_were_born_the_{r|당신은 언제나 돈을 찾아 이곳 저곳을 유랑하는 한 상인의 {reg3?딸:아들}로 태어났습니다. 당신의 부모가 부유한 편이라 좋은 교육을 받을 수 있었지만 당신은 길에서 친구를 만들고 상인들과 흥정하는 법을 배우는 것을 더 좋아했습니다.
qstr_As_a_child_your_fami|어린 시절 당신의 가족은 지역영주 호위병인 아버지의 빈약한 벌이에 시달려야 했습니다. 쉬운 생활은 아니었고, 당신이 교육 받기엔 집안이 너무 가난했습니다. 당신은 주로 거리에 나가 놀았고, 무기가 있던 없던 자신 스스로를 방어할 능력을 길렀습니다.
qstr_{reg3?daughter:son}|{reg3?딸:아들}
qstr_You_were_born_a_Doth|당신은 도트라키 부족에서 태어났고 가족은 도트라키 바다를 말로 여행했습니다. 도트라키 부족들은 너무 오랫동안 한 곳에 정착해 있지 않았습니다. 도트라키 부족으로서 당신은 어린 시절부터 말의 중요성을 배웁니다.
qstr_You_were_a_child_of_|당신은 북부에 있는 장벽 너머에서 살았던 부족에서 태어난 자유민의 자녀였습니다.
qstr_As_the_{reg3?daughte|도둑의 {reg3?딸:아들}로서, 당신은 형식적인 교육을 매우 조금 받았습니다. 대신에 당신은 모든 어린 시절을 거리로 나가서, 소매치기를 배울 때까지는 구걸을 했으며, 자물쇠를 따는 법을 배울 때까지는 소매치기를 했습니다. 여전히, 이 긴 시절은 당신이 도시물정에 밝고 도시의 수상한 뒷골목이나 비밀에 대해 잘 알게 해주었습니다.
qstr_As_a_{reg3?girl:boy}|{reg3?소녀:소년}(으)로서의 어린 시절을 지나, 당신은 귀족 중 한 명의 궁중에 살도록 보내졌습니다. 그곳에서 당신은 영주와 부인들의 집안일을 대신 거들어야 했습니다. 하지만 그들의 체스게임, 우아한 잡담, 위대한 업적에 대한 시와 기품 있는 사랑으로부터 갈등과 경쟁이 있는 어른들의 세계에 대해 남들보다 빨리 배워갔습니다. 당신은 또한 다른 아이들로부터 어른들의 검을 흉내 낸 막대기로 서로를 쳐부수는 거친 경기를 배웠습니다.
qstr_As_a_{reg3?girl:boy}_| {reg3?소녀:소년}(으)로서의 어린 시절을 지나, 무역에 대해 배우기 위해 지역의 장인의 견습생이 되었습니다. 새로운 주인 밑에서의 몇 년간의 고된 일과 공부 후에, 그는 당신을 직공으로 승진시키고 당신이 머물길 바라는 동안 완전한 급료를 받는 장인으로 고용했습니다.
qstr_As_a_{reg3?girl:boy}_g|{reg3?소녀:소년}(으)로서의 어린시절을 지나, 당신은 무역을 하고 수년간 가게를 운영하고 상단을 운영하는 부유한 상인의 견습생이 되었습니다. 당신은 곧 싸게 사고, 비싸게 팔며, 고객들이 좋은 거래를 했다고 믿게 만드는 재주에 익숙해졌습니다.
qstr_As_a_{reg3?girl:boy}_gr|{reg3?소녀:소년}(으)로서의 어린 시절을 지나, 당신은 거리로 나가, 살아남기 위해 무슨 짓이든 했습니다. 구걸, 강도, 빵을 얻기 위해 갱단을 위해 일하기도 했으며, 매일매일을 이런 잔인한 세계에서 살았고, 법과 당신에게 적의를 품은 자들을 언제나 한 발짝 앞서갔습니다.
qstr_As_a_{reg3?girl:boy}_gro|{reg3?소녀:소년}(으)로서의 어린 시절을 지나, 당신은 혼자서 거대한 초원에 나가 말을 타고 달렸습니다. 그리고 초원과 사막에서의 생존법을 배워 나갔습니다. 비록 가끔씩 허기진 배를 부여잡아야 했지만, 사람의 발길이 닿지 않는 이 나라에서 당신은 숙련된 사냥꾼이자 탐험가로 자랐습니다. 하지만 당신의 몸은 유목민 {reg3?여성:남성}으로서 발달됨에 따라, 근육은 비교적 약해졌습니다.
qstr_{reg3?daughter:man}|{reg3?딸:아들}
qstr_Though_the_distincti|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로하고, 주변의 모든 사물이 달라 보이기 시작했습니다. 이내 당신이 귀족에 종자가 되었고 많은 시간을 무기와 함께 연습하며 보냈습니다. 이제 당신은 어떻게 고난과 역경을 피하고 또한 그것들을 이겨내는지에 대해서 잘 알고 있습니다.
qstr_{reg3?woman:man}|{reg3?여성:남성}
qstr_Though_the_distinctio|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 모두가 귀부인처럼 행동해야 하는 궁녀들의 사교집단에 참여했습니다. 그곳에는 귀족들의 본처와 첩, 그리고 아직 남편을 찾지 못한 처녀들이 있었습니다. 하지만 이곳에서 두드러지기 위해 계락을 꾸미거나, 미혼인 왕족의 눈에 들기 위해 서로 격렬하게 싸우는 여성들처럼 당신도 동등한 집단을 만들었고, 당신은 곧 이 상황들을 자신에게 유리하게 바꿔 돌아가게 하는 법을 배웠습니다. 만약 당신 스스로를 이 미묘함에 적응시킨다면 당신 스스로가 세상에 거대한 영향력을 휘드르는 건 꿈이 아닙니다.
qstr_Though_the_distinction|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 등에 짊어진 악기와 목소리만을 가지고 여행을 떠났습니다. 그것은 수많은 배고픔과 사람들의 무관심이 함께하는 괴로운 삶이였지만, 당신은 가까스로 음악만으로도 살아갈 수 있었습니다. 세월이 흘러 당신은 선술집의 취객들이 연주하는 것에 익숙해졌고, 오히려 당신이 원하는 것을 가지지 않은 사람들과도 대화를 할 수 있게 되었습니다.
qstr_Though_the_distinction_|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 기술, 철학 그리고 약학을 가르치는 어느 도시의 대학에서 학생으로써의 자신을 찾았습니다. 그러나 당신의 모든 수업이 꼭 교실에서만 진행되는 것은 아닙니다. 당신의 동료들과 함께 골목을 배회하며 술과 여자, 그리고 좋은 싸움을 찾을지도 모르지만 당신은 부러진 턱을 어떻게 맞추는지를, 또는 어떻게 성난 시민이 곤봉을 내려놓고 그의 가게가 부서진 배상을 받도록 설득하는지를 확실하게 관찰할 수 있었습니다.
qstr_Though_the_distinction_f|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 열린 길의 부름에 유의하며, 마을과 마을 사이를 여행하면서 당신이 할 수 있는 만큼 물건을 사고 팔았습니다. 그럿은 부유한 삶은 아니였지만, 당신은 에누리의 달인이 되어, 매우 가난한 노인조차 당신에게 좋은 값을 매겨주었습니다. 당신도 알다시피, 머지않아 당신은 적당한 위치에 서서 자신만의 상업 왕국을 열 것입니다.
qstr_Though_the_distinction_fe|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 대장장이로써의 일을 추구하여, 단순한 금속이 아닌 기능과 아름다움을 가진 물건들을 만들었습니다. 세월이 흘러 당신은 대장장이 일이 경지에 올라, 괜찮은 작품은 좋은 가격에 팔리게 되었습니다. 만족스러운 의식주와 함께, 당신은 자신의 작품과 증대하는 명성을 자랑할 수 있었습니다.
qstr_Though_the_distinction_fel|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 불만스럽고 가난한 삶에서 벗어날 돈을 위해, 당신은 지방 영주의 숲으로 가서 자신 스스로에게 관대해지기로 했고, 법은 당신에게 있어서 아무런 의미가 없게 되었습니다. 당신은 노루와 멧돼지, 그리고 거위를 사냥해 값비싼 고기를 불법으로 팔았습니다. 당신은 경비병의 코앞에서 나무를 잘라서 그것들을 장작으로 사용하여 겨울철 얼어붙은 집들을 녹여주었지만 당연히 전적으로 약간의 돈을 위해서였습니다.
qstr_Only_you_know_exactl|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 여전히 분노가 가슴 속에서 불타올랐기에, 떠나는 건 어려운 결정이 아니였습니다. 당신은 복수와 정의를 원합니다. 복수를 끝내지 않고는 끝냈다고 할 수 없고, 피를 흘리는 것만이 복수를 끝낼 수 있습니다.
qstr_Only_you_know_exactly|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 당신은 사랑했던 이의 기억이 있지만, 떠나보내고, 혼자 가만히 있을 수 밖에 없는 것이 너무나 고통스러웠습니다. 어쩌면 당신의 새로운 삶이 그 아픔을 잊게 하거나, 당신이 말하는 걸, 참기 힘들게 하던 그 이름을 존경할 것입니다.
qstr_Only_you_know_exactly_|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 심지어 당신이 포로가 되었을 때도, 지루함이 친숙했고, 방랑의 꿈은 당신의 삶을 삼켜버렸습니다. 당신이 멀리 떨어진 집을 그리워하거나, 그저 자유를 위한 여행을 떠나도, 한 곳에 머무르는 것을 참을 수 없었습니다. 당신은 쉽게 떠났고 뒤돌아보지 않았습니다.
qstr_Only_you_know_exactly_w|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 하지만 당신은 다시 돌아갈 수 없다는 것을 알고 있습니다. 다시 돌아가면 아무것도 없습니다. 어쨌든 당신의 집은 사라졌고, 넓은 세상으로 나왔음을 인식해야 합니다. 혼자 헤엄쳐 나가거나 가라앉을 수도 있습니다.
qstr_Only_you_know_exactly_wh|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 모두가 그러듯이, 무엇 하나없이 홀로 동기를 부여하여 스스로 얻어야 합니다. 당신은 부유하고, 강하고, 존경받고, 두려워지길 원합니다. 당신은 다른 이들이 머리를 조아리길 원하는 자가 되길 원합니다. 당신은 사람들이 당신의 이름을 알고 어디서든 이야기 되어지길 원합니다. 당신은 무엇이든 할 수 있고 어느 누구도 당신의 뜻을 멈출 수 없을 것입니다.
qstr_Back_to_the_beginnin|처음으로 돌아가기...
qstr_View_next_segment...|다음 세그먼트 보기...
qstr_Current_party_morale_|현재 부대 사기 {reg5}.^핸재 부대 사기 결정 요소:^^기본사기:  +{reg6}^부대크기: {s2}{reg1}^휴식부족: {s3}{reg2}^음식다양성: {s4}{reg3}{s5}{s6}^최근사건: {s7}{reg4}^총합:  {reg5}^
qstr_No_one|아무도 없습니다.
qstr_Selected_faction_is:|선택된 세력: {s10}^^{s9}
qstr_You_are_currently_re|당신이 현재 읽고 있는 책: {s8}
qstr_You_are_not_reading_|당신이 현재 읽고 있는 책: 없음
qstr_{s5}_and_{s6}|{s5} 그리고 {s6}
qstr_Renown:_{reg2}_^Bard|명성: {reg2} ^바드의 평판: {reg1} ^명예: {reg3} {s12}^친분: {s8}.^숙적: {s6}.^{s9}.^^^작은^ 부상: {s10}.^ Major: {s11}.^^당신의 종교^ {s13}.^^총합: {s14}.
qstr_Your_estates_are:_{s|당신의 영지: {s8}.^{s9}
qstr_Current_party_size_li|현재 최대 모집가능 병력 수 {reg0}.^현재 부대 인원 제한 결정 사항:^^기본: {s5}{reg31}^리더쉽: {s2}{reg32}^카리스마: {s3}{reg33}^명성: {s4}{reg34}^총합:  {reg0}
qstr_Your_relation_with_t|각 세력과의 관계:^{s2}
qstr_You_don_t_have_the_m|당신은 야영지를 강화했지만 지불할 만한 돈이 없었고, 급료를 받지 못한 작업자들은 화가 났습니다.
qstr_After_you_buy_the_ma|재료를 구입해야 야영지를 지을 수 있습니다.
qstr_Player_renown_is_inc|당신의 평판이 100만큼 상승했습니다.
qstr_Player_reputation_is|당신의 평판이 1만큼 상승해 {reg7}이 되었습니다.
qstr_{reg1}_{s1}_{reg2?ac|{s1} {reg1}명이 제안을 {reg2?받아들였:받아들였}습니다.
qstr_No_one_accepts_the_o|아무도 제안에 응하지 않았습니다.
qstr_You_start_reading_{s|당신은 {s2}을(를) 읽기 시작했습니다. 몇 페이지를 넘긴 뒤, 당신은 이 책에서 많은 것을 배울 수 있다는 것을 느꼈습니다. 당신은 그것을 곁에 두고 언제나 읽을 수 있도록 했습니다.
qstr_You_flip_through_the|당신은 {s2}을(를) 읽기 시작했지만, 당신이 읽기에는 내용이 너무 난해하고 어렵다는 걸 알았습니다. 당신은 더 읽어 보려고 노력했지만 결국은 그것을 읽는 것을 포기할 수 밖에 없었습니다.
qstr_You_lost_your_duel_a|당신은 결투에서 패배했습니다. ^^{s3}
qstr_You_won_your_duel_ag|당신은 결투에서 승리했습니다. ^^{s3}
qstr_You_prepare_to_duel_|당신은 결투를 준비합니다 ^^{s3}
qstr_^^^^You_have_fought_|^^^^당신은 {s3}와 {reg5} 번 싸웠습니다. ^^{reg6} 번 이겼고. ^^{reg7}번 졌습니다.
qstr_^^^^Duelling_with_yo|^^^^당신의 병사와 결투한 것은 기록으로 남지 않습니다.
qstr_Villagers|마을사람
qstr_The_time_for_talk_is|문답무용. {s1}는 결투를 기다리고 있습니다.
qstr_Ambush!_The_enemy_ha|매복에 당했습니다! 적은 좋은 위치를 선점하기 위해 기동했고, 당신은 적들의 매복에 당하고 말았습니다.^^매복에 당하는 바람에 당신의 방어 태세는 무질서하고 준비되지 않았습니다. 게다가 당신의 부하들은 사기가 저하되고 적에게 피해를 입힐 수 있는 능력이 감소되었습니다.^^
qstr_You_have_encountered|당신은 {s1}와(과) 마주쳤습니다.^^적의 장군은 그의 부하들을 위해 격렬한 연설을 하여 격려합니다. 당신의 적들은 높은 사기를 지니고 있습니다.^^
qstr_You_have_encountered_|당신은 {s1}와(과) 마주쳤습니다.^^적의 장군은 그의 부하들을 위해 그들의 신의 보호를 위해 기도했고, 당신의 적들은 높은 사기를 지니고 있습니다.^^
qstr_You_have_encountered_{|당신은 {s1}와(과) 마주쳤습니다.^^우리는 제대로 된 대응을 하기도 전에 적의 분견대와 마주쳤고, 약간의 사상자가 발생했습니다.^^
qstr_You_have_encountered_{s|당신은 {s1}와(과) 마주쳤습니다.
qstr_You_have_engaged_{s1|당신은 {s1}(이)가 {s3}을(를) 습격하는 데 합류했습니다.
qstr_You_were_caught_by_{|당신이 {s3}을(를) 습격하는 동안 {s1}(이)가 수비군에 합류했습니다.
qstr_You_have_encountered_{s1|당신은 {s1}와(과) 마주쳤습니다. {reg10}명의 병력을 투입하는게 전투에 적합합니다.
qstr_{s2}^^You_overhear_o|{s2}^^당신의 부대에서 경험 많은 병사 중 한 명이 당신의 전투 계획의 부실한 부분을 지적했고, 당신은 그의 조언을 받아들여 그에게 전투 계획을 보완하게 했습니다.^^
qstr_Your_men_feel_uneasy|당신의 병력들은 무고한 사람들을 공격한 것에 대해 죄책감을 느끼고 있습니다.
qstr_Your_men_feel_uneasy_|당신의 병력들은 상인을 공격한 것에 대해 죄책감을 느끼고 있습니다.
qstr_Your_men_feel_good_a|당신의 병력들은 무법자를 공격한 것에 대해 자랑스러움을 느끼고 있습니다.
qstr_Since_{s8}_has_a_goo|당신의 병력들은 평판이 좋은 {s8}을(를) 공격한 것에 대해, 평소보다 기분이 안 좋아져 있습니다.
qstr_Your_men_feel_uneasy_a|당신의 병력들은 사람들에게 사랑받는 {s8}을(를) 공격한 것에 대해 죄책감을 느끼고 있습니다.
qstr_Your_men_feel_uneasy_ab|당신의 병력들은 무서운 자인 {s8}을(를) 공격한 것에 대해 불안감을 느끼고 있습니다.
qstr_Your_men_are_eager_t|당신의 병력들은 증오받는 자인 {s8}을(를) 공격하기를 열망하고 있습니다.
qstr_^^The_troops_you_sel|^^당신이 선택한 부대가 전투에서 당신과 합류 할 준비가되었습니다.
qstr_^^Your_captains_will|^^당신의 대장은 병력 배정을 처리 할 것입니다.
qstr_{s4}^^Your_orders_ha|{s4}^^당신의 명령이 대장에게 보내졌습니다.
qstr_{s4}^^There_is_no_ta|{s4}^^전술적 인 계획은 없다.
qstr_Board|올라타라! 
qstr_You_need_to_have_50_|당신은 지휘관 설정을 사용하기 위해 50명 이상의 병력을 필요로 합니다.
qstr_{reg45}_will_be_lost|{reg45}은(는) 손실되었습니다.
qstr_You_were_victorious!|당신은 승리했다!
qstr_The_battle_was_lost.|당신은 전투에서 패배했습니다. 당신의 병력은 완전히 와해되었습니다.
qstr_Your_companions_carr|당신의 동료들은 당신을 전장에서 멀리 떨어진 곳으로 옮겼습니다.
qstr_You_have_defeated_th|당신은 적들을 패배시켰습니다.
qstr_You_have_retreated_f|당신은 전투에서 후퇴했습니다.
qstr_^^Ally_Casualties:{s|^^아군 사상자:{s0}
qstr_{s1}_of_{s3}_managed{s1}의 {s3}은(는) 탈출하는 데 성공했습니다.
qstr_TEST:_Loot_value_bef|TEST: Loot value before: {reg1} and after: {reg2}
qstr_Your_party_gained_{r|당신의 부대는 전리품을 분배하여 {reg1}만큼의 사기를 얻었습니다.
qstr_Your_party_lost_{reg|당신의 부대는 당신이 전리품에 지나치게 욕심을 부렸기 때문에 {reg1}만큼의 사기를 잃었습니다.
qstr_Some_of_your_tendons|당신은 전투 중에 힘줄을 다쳤다. 당신은 1만큼의 힘을 잃었습니다.
qstr_You_took_a_nasty_wou|당신은 치료를 마쳤지만 작은 후유증으로 다리를 절룩거리게 되었습니다. 당신은 1의 만첩을 잃었습니다.
qstr_You_have_trouble_thi|당신은 후유증에 시달리고 있습니다. 당신의 기억은 오락가락하기 시작한 것 같습니다. 당신은 1의 지능을 잃었습니다.
qstr_Perhaps_I_m_getting_|나는 아마도 운이 없는 것 같소...
qstr_Retirement_is_starti|은퇴라는 단어가 점점 끌리기 시작하는군.
qstr_No_matter!_I_will_pe|아무 문제 없소! 나는 좀 더 노력해 보겠소!
qstr_What_did_I_do_to_des|내가 이 것을 받고 싶다면 무엇을 해야만 하겠소?
qstr_I_suppose_it_ll_make|내 생각에는 그건 좋은 이야기인 것 같소...
qstr_Ally|동맹
qstr_Friend|친구
qstr_Enemy|적
qstr_Neutral|중립
qstr_^^^^The_troops_you_s|^^^^선택한 부대가 전투에 참여할 준비가되었습니다.
qstr_^^^^Your_captains_wi|^^^^당신의 대장은 병력 배정을 처리 할 것입니다.
qstr_You_retreat_from_the|당신은 전투에서 후퇴했습니다.
qstr_Garrison:_{reg5}__li|주둔병: {reg5} (제한: {reg0})^^ 요새나 도시처럼 당신의 병력들은 은신처에 주둔할 수 있으며, 그들이 길거리나 전투의 위험을 피해 휴식할 수 있고, 그들에게 지급할 주급을 줄일 수 있습니다.
qstr_You_need_to_hire_a_c|당신은 먼저 요리사를 고용할 필요가 있습니다.
qstr_It_is_night_and_your|한밤 중의 당신의 은신처는 조용합니다. 다른 병력들이 잠든 동안, 일부 병력은 불침번을 서고 있습니다.
qstr_Your_garrison_size_e|당신의 은신처 주둔병의 규모는 은신처에 주둔할 수 있는 병력의 한계를 넘었습니다! 이는 병력의 탈영과 불만을 야기할 것입니다!
qstr_Garrison_limit:_{reg|주둔병 제한: {reg0}
qstr_The_ramshackle_priso|당신의 은신처의 감옥은 매우 부실합니다. 당신의 선장은 이 곳에 영주를 가두지 말 것을 경고하고 있다!
qstr_You_do_not_have_enoug|당신의 자금은 은신처를 철거하기 위한 비용을 지불하기에 충분하지 않습니다.
qstr_settlement_demolishe|당신의 은신처가 철거되었습니다!
qstr_You_estimate_your_pr|이곳의 죄수가 {reg2}%의 탈출 확률로 추정됩니다.
qstr___{reg1}_silver_stag| (하룻밤 당 {reg1} 실버)
qstr_You_are_in_no_condit|당신은 일할 상태가 아닙니다
qstr_You_are_paid_for_you|당신은 노동에 대가를 치뤘습니다.
qstr___Currently_{reg1}_p| (현재 {reg1} 포로들이 작업중)
qstr___Currently_{reg1}_g| (현재 {reg1} 경비들이 수행중)
qstr_Some_of_the_prisoner|소금광산에서 작업중이던 죄수중 일부가 도망쳤습니다.^남은 죄수들이 이번주에 {reg1} 실버의 수익을 냈습니다.
qstr_The_prisoners_you_ha|소금광산에서 작업중인 죄수들이 이번주에 {reg1} 실버의 수익을 냈습니다.
qstr___Currently_{reg1}_pr| (현재 {reg1} 포로들이 작업중)
qstr_Some_of_the_prisoners|철광석에서 작업중이던 죄수중 일부가 도망쳤습니다.^남은 죄수들이 이번주에 {reg1} 실버의 수익을 냈습니다.
qstr_The_prisoners_you_hav|철광석에서 작업중인 죄수들이 이번주에 {reg1} 실버의 수익을 냈습니다.
qstr_You_have_discovered_|당신은 할로우 힐을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_dealt_with_|당신은 야인들의 위협을 처리했다. '북부의 왕' 롭 스타크에게 돌아 가야합니다.
qstr_You_have_failed_to_d||당신은 야인들의 위협을 대처하지 못했습니다. '북부의 왕' 롭 스타크에게 돌아 가야합니다.
qstr_You_have_discovered_t|당신은 무릎 꿇은 남자의 여관을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr___{reg1}_silver_stags| (하룻밤 당 {reg1} 실버)
qstr_You_have_discovered_th|당신은 올드 스톤 브릿지을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_discovered_I|당신은 일리리오의 목사관을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_The_castle_has_been_|성은 다시 지어졌습니다!
qstr_It_seems_some_slaver|일부 노예들이 이곳을 은신처로 사용하고있는 것 같습니다. 전투 준비!
qstr_You_arrive_at_Evenfa|이븐폴 항구에 도착합니다.
qstr_You_arrive_at_the_ha|항구에 도착합니다.
qstr_You_arrive_at_Greens|항구에 도착합니다.
qstr_You_arrive_at_Old_Wy|항구에 도착합니다.
qstr_You_arrive_at_Fair_I|항구에 도착합니다.
qstr_You_arrive_at_Long_S|항구에 도착합니다.
qstr_You_arrive_at_Sweet_|항구에 도착합니다.
qstr_You_arrive_at_a_Natu|항구에 도착합니다.
qstr_You_arrive_at_Orange|항구에 도착합니다.
qstr_You_arrive_at_Grimst|항구에 도착합니다.
qstr_You_arrive_at_Oakens|항구에 도착합니다.
qstr_You_arrive_at_Greysh|항구에 도착합니다.
qstr_You_arrive_at_the_har|항구에 도착합니다.
qstr_You_arrive_at_Orkmon|항구에 도착합니다.
qstr_You_arrive_at_Blackt|항구에 도착합니다.
qstr_You_arrive_at_Claw_I|항구에 도착합니다.
qstr_You_arrive_at_Rook_s|항구에 도착합니다.
qstr_You_arrive_at_a_harb|항구에 도착합니다.
qstr_You_have_discovered_S|당신은 샌드스톤을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_discovered_C|당신은 크래스터 킵을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_discovered_Q|당신은 퀸스크라운을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_discovered_the|당신은 본웨이을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_discovered_the_|당신은 부서진 팔을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_discovered_N|당신은 나가의 갈비뼈을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_Searching_through_th|폐허를 수색하여 250개의 실버를 발견했습니다.
qstr_You_have_discovered_O|당신은 오래된 돌을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_You_have_discovered_the_T|당신은 기쁨의 탑을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_The_rescued_prisoner|구조된 죄수가 당신의 부대에 합류합니다.
qstr_It_is_night_and_the_|그곳은 밤이고, 그리고 셉트리는 조용한 것 같습니다.
qstr_You_feel_good_for_he|당신은 다른 사람을 도와준 것에 대해 행복을 느낍니다.
qstr_You_don_t_have_enough_|당신은 충분한 실버를 가지고 있지 않습니다. 얼마나 당황스럽습니까!
qstr_The_Septons_bless_yo|셉톤은 당신을 축복하고, 당신은 자신의 길을 계속 나아갑니다.
qstr_You_need_to_have_more|당신은 이 작업을 수행하기 위해서는 더 많은 병력을 필요로 합니다.
qstr_You_have_discovered_the_C|당신은 교차로의 여관을 발견했습니다. 당신은 200 경험치를 얻었다.
qstr_{s9}_wants_you_to_fo|{s9}은(는) 다른 지시가 있을 때까지 당신이 그에게 종군하기를 원하고 있습니다.
qstr_{s8}_of_{s9}|{s9} 소속 {s8}
qstr__Your_own_banner_fli| 성문 위로 당신의 깃발이 휘날리고 있습니다.
qstr__As_you_approach_the| 성문 위로 {s7}의 깃발이 보입니다.
qstr__Your_own_banner_flie| 도시의 성문 위로 당신의 깃발이 휘날리고 있습니다.
qstr__As_you_approach_the_| 도시의 성문 위로 {s7}의 깃발이 보입니다.
qstr_The_rulers_of_the_re|영역의 통치자는 당신의 주군에 대한 당신의 공격으로 고생합니다.
qstr_You_make_sure_they_s|^그는 잡혀있는, 군주 {s11} 를 알아보았다.
qstr_{s12}_is_{s13}_s_las|{s12}은 {s13}의 마지막 보루이다. 그들은 결사 항전을 다짐한 듯 하다.
qstr_You_can_use_persuasi|당신은 하루에 한번만 설득 기술을 사용할 수 있습니다.
qstr_ally_strength:_{reg0|아군 전력: {reg0}
qstr_enemy_strength:_{reg|상대 전력: {reg0}
qstr_persuasion_difficult|설득 난이도: {reg0}
qstr_normalize_difficulty|일반화된 난이도: {reg0}
qstr_persuasion_skill_eff|설득 스킬 효과: {reg0}
qstr_total_difficulty:_{r|종합 난이도: {reg0}
qstr__Your_Persuasion_str|설득 시도:(설득력: {reg5}) {s5}
qstr_The_{reg6?town_s:cas|{reg6?도시의:성의} 식량 저장분이 {reg3}일치가 남아 있습니다.
qstr_The_{reg6?town_s:cast|{reg6?도시의:성의} 저장된 식량이 바닥이 났고 수성측 병사들이 굶주리고 있습니다.
qstr_Your_men_are_buildin|>>당신의 병력들은 {s4}을(를) 포위하기 위해 작은 진영들과 초소들을 지어 포위망을 형성하고 있습니다.^^
qstr_Your_perimeter_contr|>>포위망이 완성되었습니다. 당신은 {s4}을(를) 완벽하게 통제하고 있고, 그 곳의 포위망이 사람이나 보급품이 들어오거나 나가지 못하게 막고 있습니다.^이 포위망은 당신이 공성중인 지역의 지휘관과 항복 협상을 진행할 때, 특히 도움이 될 것입니다.^^
qstr_Your_men_are_ready_f|>>당신의 병력들이 전투를 시작할 준비를 마쳤습니다.^^
qstr_As_a_disciplined_arm|>>당신의 훈련된 병사들이 하수도, 화장실, 그리고 매 주 목욕을 할 수 있는 목욕탕을 만들었습니다. 이러한 위생 시설은 당신의 진영에서 질병이 도는 것을 방지할 수 있을 것입니다.^^
