
|"undefined"
str_credits_11|"Logotype:^Jason Brown^^Cover Art:^Piotr Fox Wysocki^^Layout:^Christian Sabe^Melina Grundel^^Poster:^Piotr Fox Wysocki^^Map & Concept Art:^Ganbat Badamkhand^^Manual Editing:^Digital Wordsmithing: Ryan Newman, Nick Stewart^^Web:^Martin Ericsson^^Marketing Assets:^2Coats^^Localization:^S&H Entertainment Localization^^GamersGate:^Ulf Hedblom^Andreas Pousette^Martin Ericson^Christoffer Lindberg"
str_credits_12|"Thanks to all of our partners worldwide, in particular long-term partners:^Koch Media (Germany & UK)^Blue Label (Italy & France)^Friendware (Spain)^New Era Interactive Media Co. Ltd. (Asia)^Snowball (Russia)^Pinnacle (UK)^Porto Editora (Portugal)^Hell-Tech (Greece)^CD Projekt (Poland, Czech Republic, Slovakia & Hungary)^Paradox Scandinavian Distribution (Scandinavia)"
str_multi_scene_1|"Ruins"
str_multi_scene_2|"Village"
str_multi_scene_3|"Hailes Castle"
str_multi_scene_4|"Ruined Fort"
str_multi_scene_5|"Scene 5"
str_multi_scene_6|"Scene 6"
str_multi_scene_7|"Field by the River"
str_multi_scene_8|"Rudkhan Castle"
str_multi_scene_9|"Snowy Village"
str_multi_scene_10|"Turin Castle"
str_multi_scene_11|"Nord Town"
str_multi_scene_16|"Port Assault"
str_multi_scene_17|"Brunwud Castle"
str_multi_scene_18|"Battle on Ice"
str_multi_scene_19|"Mahdaar Castle"
str_multi_scene_20|"Jameyyed Castle"
str_multi_scene_21|"The Arena"
str_multi_scene_22|"Forest Hideout"
str_multi_scene_23|"Canyon"
str_multi_scene_24|"Desert Town"
str_multi_scene_12|"Random Plains (Medium)"
str_multi_scene_13|"Random Plains (Large)"
str_multi_scene_14|"Random Steppe (Medium)"
str_multi_scene_15|"Random Steppe (Large)"
str_multi_scene_end|"multi scene end"
str_multi_game_type_1|"Deathmatch"
str_multi_game_type_2|"Team Deathmatch"
str_multi_game_type_3|"Battle"
str_multi_game_type_4|"Fight and Destroy"
str_multi_game_type_5|"Capture the Flag"
str_multi_game_type_6|"Conquest"
str_multi_game_type_7|"Siege"
str_multi_game_type_8|"Duel"
str_multi_game_types_end|"multi game types end"
str_poll_kick_player_s1_by_s0|"{s0} started a poll to kick player {s1}."
str_poll_ban_player_s1_by_s0|"{s0} started a poll to ban player {s1}."
str_poll_change_map_to_s1_by_s0|"{s0} started a poll to change map to {s1}."
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|"{s0} started a poll to change map to {s1} and factions to {s2} and {s3}."
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|"{s0} started a poll to change bot counts to {reg0} and {reg1}."
str_poll_kick_player|"Poll to kick player {s0}: 1 = Accept, 2 = Decline"
str_poll_ban_player|"Poll to ban player {s0}: 1 = Accept, 2 = Decline"
str_poll_change_map|"Poll to change map to {s0}: 1 = Accept, 2 = Decline"
str_poll_change_map_with_faction|"Poll to change map to {s0} and factions to {s1} versus {s2}: 1 = Accept, 2 = Decline"
str_poll_change_number_of_bots|"Poll to change number of bots to {reg0} for {s0} and {reg1} for {s1}: 1 = Accept, 2 = Decline"
str_poll_time_left|"({reg0} seconds left)"
str_poll_result_yes|"The poll is accepted by the majority."
str_poll_result_no|"The poll is rejected by the majority."
str_total_item_cost_reg0|"Total cost: {reg0}"
str_server_name|"Server name:"
str_game_password|"Game password:"
str_map|"Map:"
str_game_type|"Game type:"
str_max_number_of_players|"Maximum number of players:"
str_number_of_bots_in_team_reg1|"Number of bots in team {reg1}:"
str_team_reg1_faction|"Team {reg1} faction:"
str_enable_valve_anti_cheat|"Enable Valve Anti-cheat (Requires valid Steam account)"
str_allow_friendly_fire|"Allow ranged friendly fire"
str_allow_melee_friendly_fire|"Allow melee friendly fire"
str_friendly_fire_damage_self_ratio|"Friendly fire damage self (%):"
str_friendly_fire_damage_friend_ratio|"Friendly fire damage friend (%):"
str_spectator_camera|"Spectator camera:"
str_control_block_direction|"Control block direction:"
str_map_time_limit|"Map time limit (minutes):"
str_round_time_limit|"Round time limit (seconds):"
str_players_take_control_of_a_bot_after_death|"Switch to bot on death:"
str_team_points_limit|"Team point limit:"
str_point_gained_from_flags|"Team points gained for flags (%):"
str_point_gained_from_capturing_flag|"Points gained for capturing flags:"
str_respawn_period|"Respawn period (seconds):"
str_add_to_official_game_servers_list|"Add to official game servers list"
str_combat_speed|"Combat speed:"
str_combat_speed_0|"Slowest"
str_combat_speed_1|"Slower"
str_combat_speed_2|"Medium"
str_combat_speed_3|"Faster"
str_combat_speed_4|"Fastest"
str_off|"Off"
str_on|"On"
str_defender_spawn_count_limit|"Defender spawn count:"
str_unlimited|"Unlimited"
str_automatic|"Automatic"
str_by_mouse_movement|"By mouse movement"
str_free|"Free"
str_stick_to_any_player|"Lock to any player"
str_stick_to_team_members|"Lock to team members"
str_stick_to_team_members_view|"Lock to team members' view"
str_make_factions_voteable|"Allow polls to change factions"
str_make_kick_voteable|"Allow polls to kick players"
str_make_ban_voteable|"Allow polls to ban players"
str_bots_upper_limit_for_votes|"Bot count limit for polls:"
str_make_maps_voteable|"Allow polls to change maps"
str_valid_vote_ratio|"Poll accept threshold (%):"
str_auto_team_balance_limit|"Auto team balance threshold (diff.):"
str_welcome_message|"Welcome message:"
str_initial_gold_multiplier|"Starting gold (%):"
str_battle_earnings_multiplier|"Combat gold bonus (%):"
str_round_earnings_multiplier|"Round gold bonus (%):"
str_allow_player_banners|"Allow individual banners"
str_force_default_armor|"Force minimum armor"
str_respawning_in_reg0_seconds|"Respawning in {reg0} seconds..."
str_no_more_respawns_remained_this_round|"No lives left for this round"
str_reg0_respawns_remained|"({reg0} lives remaining)"
str_this_is_your_last_respawn|"(This is your last life)"
str_wait_next_round|"(Wait for the next round)"
str_yes_wo_dot|"Yes"
str_no_wo_dot|"No"
str_we_resign|"We have no strength left to put up a fight. We surrender to you, {playername}."
str_i_resign|"I don't want to die today. I surrender."
str_s1_returned_flag|"{s1} has returned their flag to their base!"
str_s1_auto_returned_flag|"{s1} flag automatically returned to their base!"
str_s1_captured_flag|"{s1} has captured the enemy flag!"
str_s1_taken_flag|"{s1} has taken the enemy flag!"
str_s1_neutralized_flag_reg0|"{s1} has neutralized flag {reg0}."
str_s1_captured_flag_reg0|"{s1} has captured flag {reg0}!"
str_s1_pulling_flag_reg0|"{s1} has started pulling flag {reg0}."
str_s1_destroyed_target_0|"{s1} destroyed target A!"
str_s1_destroyed_target_1|"{s1} destroyed target B!"
str_s1_destroyed_catapult|"{s1} destroyed the catapult!"
str_s1_destroyed_trebuchet|"{s1} destroyed the trebuchet!"
str_s1_destroyed_all_targets|"{s1} destroyed all targets!"
str_s1_saved_1_target|"{s1} saved one target."
str_s1_saved_2_targets|"{s1} saved all targets."
str_s1_defended_castle|"{s1} defended their castle!"
str_s1_captured_castle|"{s1} captured the castle!"
str_auto_team_balance_in_20_seconds|"Auto-balance will be done in 20 seconds."
str_auto_team_balance_next_round|"Auto-balance will be done next round."
str_auto_team_balance_done|"Teams have been auto-balanced."
str_s1_won_round|"{s1} has won the round!"
str_round_draw|"Time is up. Round draw."
str_round_draw_no_one_remained|"No one left. Round draw."
str_death_mode_started|"Hurry! Become master of the field!"
str_reset_to_default|"Reset to Default"
str_done|"Done"
str_player_name|"Player Name"
str_kills|"Kills"
str_deaths|"Deaths"
str_ping|"Ping"
str_dead|"Dead"
str_reg0_dead|"{reg0} Dead"
str_bots_reg0_agents|"Bots ({reg0} agents)"
str_bot_1_agent|"Bot (1 agent)"
str_score|"Score"
str_score_reg0|"Score: {reg0}"
str_flags_reg0|"(Flags: {reg0})"
str_reg0_players|"({reg0} players)"
str_reg0_player|"({reg0} player)"
str_open_gate|"Open Gate"
str_close_gate|"Close Gate"
str_open_door|"Open Door"
str_close_door|"Close Door"
str_raise_ladder|"Raise Ladder"
str_drop_ladder|"Drop Ladder"
str_back|"Back"
str_start_map|"Start Map"
str_choose_an_option|"Choose an option:"
str_choose_a_poll_type|"Choose a poll type:"
str_choose_faction|"Choose Faction"
str_choose_a_faction|"Choose a faction:"
str_choose_troop|"Choose Troop"
str_choose_a_troop|"Choose a troop class:"
str_choose_items|"Choose Equipment"
str_options|"Options"
str_redefine_keys|"Redefine Keys"
str_submit_a_poll|"Submit a Poll"
str_administrator_panel|"Administrator Panel"
str_kick_player|"Kick Player"
str_ban_player|"Ban Player"
str_mute_player|"Mute Player"
str_unmute_player|"Unmute Player"
str_quit|"Quit"
str_poll_for_changing_the_map|"Change the map"
str_poll_for_changing_the_map_and_factions|"Change the map and factions"
str_poll_for_changing_number_of_bots|"Change number of bots in teams"
str_poll_for_kicking_a_player|"Kick a player"
str_poll_for_banning_a_player|"Ban a player"
str_choose_a_player|"Choose a player:"
str_choose_a_map|"Choose a map:"
str_choose_a_faction_for_team_reg0|"Choose a faction for team {reg0}:"
str_choose_number_of_bots_for_team_reg0|"Choose number of bots for team {reg0}:"
str_spectator|"Spectator"
str_spectators|"Spectators"
str_command|"Command:"
str_profile_banner_selection_text|"Choose a banner for your profile:"
str_use_default_banner|"Use Faction's Banner"
str_party_morale_is_low|"Morale of some troops are low!"
str_weekly_report|"Weekly Report"
str_has_deserted_the_party|"has deserted the party."
str_have_deserted_the_party|"have deserted the party."
str_space|" "
str_us_|"우리 "
str_allies_|"동맹 "
str_enemies_|"적들 "
str_routed|"도주"
str_weekly_budget|"주간 예산"
str_income_from_s0|"{s0}의 소득:"
str_mercenary_payment_from_s0|"{s0}의 용병 지불금:"
str_s0s_party|"{s0}의 부대"
str_s0_party_treasury|"현재 {s0}의 국고:"
str_loss_due_to_tax_inefficiency|"비효율로 인한 손실 세금:"
str_wages_for_s0|"{s0}의 임금:"
str_earlier_debts|"이전 부채:"
str_net_change|"전일 대비:"
str_earlier_wealth|"이전 재산:"
str_new_wealth|"새로운 재산:"
str_new_debts|"새로운 부채:"
str_maximum_seconds_for_round_is_reg0|"Maximum seconds for round is {reg0}."
str_respawn_period_is_reg0_seconds|"Respawn period is {reg0} seconds."
str_bots_upper_limit_for_votes_is_reg0|"Bots upper limit for votes is {reg0}."
str_map_is_voteable|"Map is voteable."
str_map_is_not_voteable|"Map is not voteable."
str_factions_are_voteable|"Factions are voteable."
str_factions_are_not_voteable|"Factions are not voteable."
str_players_respawn_as_bot|"Players respawn as bot."
str_players_do_not_respawn_as_bot|"Players do not respawn as bot."
str_kicking_a_player_is_voteable|"Kicking a player is voteable."
str_kicking_a_player_is_not_voteable|"Kicking a player is not voteable."
str_banning_a_player_is_voteable|"Banning a player is voteable."
str_banning_a_player_is_not_voteable|"Banning a player is not voteable."
str_player_banners_are_allowed|"Player banners are allowed."
str_player_banners_are_not_allowed|"Player banners are not allowed."
str_default_armor_is_forced|"Default armor is forced."
str_default_armor_is_not_forced|"Default armor is not forced."
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|"Percentage of yes votes required for a poll to get accepted is {reg0}%."
str_auto_team_balance_threshold_is_reg0|"Auto team balance threshold is {reg0}."
str_starting_gold_ratio_is_reg0|"Starting gold ratio is {reg0}%."
str_combat_gold_bonus_ratio_is_reg0|"Combat gold bonus ratio is {reg0}%."
str_round_gold_bonus_ratio_is_reg0|"Round gold bonus ratio is {reg0}%."
str_point_gained_from_flags_is_reg0|"Team points gained for flags is {reg0}%."
str_point_gained_from_capturing_flag_is_reg0|"Points gained for capturing flags is {reg0}%."
str_map_time_limit_is_reg0|"Map time limit is {reg0} minutes."
str_team_points_limit_is_reg0|"Team point limit is {reg0}."
str_defender_spawn_count_limit_is_s1|"Defender spawn count is {s1}."
str_system_error|"SYSTEM ERROR!"
str_prisoner_granted_parole|"포로의 석방이 승인됨"
str_prisoner_not_offered_parole|"포로의 석방이 허용되지 않음"
str__age_reg1_family_|"^나이: {reg1}^가족:"
str_s49_s12_s11_rel_reg0|"{s49} {s12} ({s11}, rel: {reg0}),"
str_s49_s12_s11|"{s49} {s12} ({s11}),"
str_lord_info_string|"{reg6?:{reg4?{s54}은(는) {s56}의 통치자 입니다.^:{s54}은(는) {s56} {s55}의 가신입니다.^}}명성: {reg5}. 논쟁: {reg15}. 평판 유형: {s45}.^{reg9?{reg3?그녀:그}는 {s58}의 {reg3?아가씨:영주}입니다.:{reg3?그녀:그}는  영지가 없다.}{s59} 현재 재산: {s7}.^{s49}"
str_foreign_relations__|"대외 관계: ^"
str_s21__the_s5_is_at_war_with_the_s14|"{s21}^* {s5}은(는) {s14}과 전쟁중입니다."
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|"{s21} {s5}은(는) 싸움에서 우위에 있습니다."
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|"{s21} {s5}은(는) 싸움에서 최악의 상태입니다."
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|"{s21} 싸움은 얼마동안 계속되었고, 전쟁은 휴전 협정으로 빨리 끝날지도 모릅니다."
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|"{s21} 싸움은 상대적으로 최근에 시작되었고, 전쟁은 얼마동안 계속될지도 모릅니다."
str__however_the_truce_is_no_longer_binding_on_the_s14|" 그러나, {s14} 하고의 휴전 협정은 더 이상 유효하지 않습니다."
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|"{s21}^* {s5}은(는) {s14}을(를) 공격하지 않는 휴전 협정에 묶여 있습니다.{s18} 휴전은 {reg1} 일 후에 만료됩니다."
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|"{s21}^* {s5}은(는) 최근 {s14}의 문제로 마찰을 겪었고, 그것으로 인해 전쟁의 위험성이 있습니다."
str_s21__the_s5_has_no_outstanding_issues_with_the_s14|"{s21}^* {s5}은(는) {s14}과 특별한 마찰이 없습니다."
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|"{s21} {s14}은(는) 최근 {s5}의 문제로 마찰이 있고, 그것으로 인해 전쟁의 위험이 있습니다.^"
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|"{s5}의 통치자는 {s6}. 현재 사령관은 {s68}.^세력은 {s8}을(를) 통치하고 있다.^가신은 {s10}.^^{s21}"
str_reg4_killed_reg5_wounded_reg6_routed|"{reg4} 사망, {reg5} 부상, {reg6} 도주"
str_reg4_killed_reg5_routed|"{reg4} 사망, {reg5} 도주"
str_reg4_killed_reg5_wounded|"{reg4} 사망, {reg5} 부상"
str_reg4_wounded_reg5_routed|"{reg4} 부상, {reg5} 도주"
str_s42|"{s42}"
str_s4_awarded_to_s5|"{s4}은(는) {s5}에게 수여 되었습니다."
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|"{s4}의 반격 병력 {reg3} vs {reg4} 적 병력"
str_current_wealth_reg1_taxes_last_collected_from_s4|"현재 재산: {reg1}. {s4}으로 부터 징수한 마지막 세금"
str_s4_has_reg4_chance_of_recruiting_troops|"{s4}은(는) 군대를 모병할 {reg4}번의 기회를 가졌습니다."
str_s4_has_reg4_chance_of_going_to_s5|"{s4}은(는) {s5}으로 갈 수 있는 {reg4}번의 기회를 가졌습니다."
str_s4_has_reg5_chance_of_patrolling_s6|"{s4}은(는) {s6}을(를) 순찰할 {reg5}번의 기회를 가졌습니다."
str_s4_has_reg5_chance_of_raiding_s6|"{s4}은(는) {s6}을(를) 급습할 {reg5}번의 기회를 가졌습니다."
str_s4_has_reg5_chance_of_besieging_s6|"{s4}은(는) {s6}을(를) 포위할 {reg5}번의 기회를 가졌습니다."
str_sum_chances_reg6|"모든 기회: {reg6}"
str_deciding_faction_ai_for_s3|"{s3}의 세력 AI 결정하기"
str_lords_of_the_s1_gather_for_a_feast_at_s2|"{s1}의 영주들은 {s2}에서의 연회를 위해 모였습니다."
str_players_kingdom_has_had_reg3_days_of_peace|"플레이어의 왕국은 {reg3} 일 동안 평화가 유지 되었습니다."
str_s4_is_present_at_the_center_and_is_attending_the_feast|"{s4}은(는) 연회에 참석했고 중앙에 있습니다."
str_s4_is_present_at_the_center_and_is_awaiting_the_player_in_private|"{s4}은(는) 중앙에 있으며, 개인적으로 플레이어를 기다리고 있습니다."
str_s4_is_present_at_the_center_and_is_allowed_to_meet_the_player|"{s4}은(는) 중앙에 있으며, 플레이어를 만나는 것이 허락되었습니다."
str_s4_is_present_at_the_center_and_is_not_allowed_to_meet_the_player|"{s4}은(는) 중앙에 있으며, 플레이어를 만나는 것이 허락되지 않았습니다."
str_no_relation|"혈연 없음"
str_niece|"조카 딸"
str_nephew|"조카"
str_aunt|"고모"
str_uncle|"삼촌"
str_cousin|"사촌"
str_daughterinlaw|"며느리"
str_soninlaw|"사위"
str_motherinlaw|"시어머니"
str_fatherinlaw|"시아버지"
str_sisterinlaw|"시누이"
str_brotherinlaw|"처남"
str_print_party_members_entered|"합류한 부대원을 출력"
str_num_companion_stacks_=_reg10|"num companion stacks = {reg10}"
str_someone|"누군가"
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|"제가 할 수 있는 일들을 합니다, {s0}. 물을 운반하거나, 상인들을 도와 상품을 옮기거나, 간혹 건축을 돕거나 합니다."
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|"저는 아무것도 안합니다, {s0}. 요즘 이 주변엔 아무런 일거리도 없어요."
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|"저는 아무것도 안합니다, {s0}. 저는 가진 땅이 없고, 요즘 이 주변엔 아무런 일거리도 없어요."
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|"물론, 당신의 친절과 선의로 저는 아직 살아가고 있습니다, {s0}. 곧 할 일이 생기면 좋겠군요."
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|"저는 벽 바로 밖에 있에서 곡식이 자라는 밭에서 일합니다. 우리가 쓰기 충분한 곡식이 자라는건 아닙니다. 그렇기 때문에 주변의 농촌에서 오는 곡물은 매우 중요합니다."
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|"저는 대부분 곡물이 자라는 밭에서 일합니다. 빵이나 에일을 만들기 위해 마을에서 그것을 갈죠, 죽을 끓이는데 쓰기도 합니다."
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|"저는 양조장에서 일합니다. 맥주를 만들죠. 와인보다 싸기 때문에 가난한 시민들은 에일을 많이 마십니다, 우린 이걸 시골에서 가져온 곡물로 만들죠."
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|"전 풍차에서 일합니다. 빵을 만들기 위해 밀가루를 갈죠. 빵은 저렴하고, 오래가며, 배를 채워줍니다."
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|"저는 가축을 돌봅니다. 우린 고기를 보관하기 좋도록 말리고 소금에 절입니다. 그리고 피혁제품을 만들도록 가죽을 도시로 보내죠. 우리는 또한 우유에서 치즈도 만듭니다."
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|"저는 가축을 돌봅니다. 우린 고기를 보관하기 좋도록 말리고 소금에 절입니다. 그리고 피혁제품을 만들도록 가죽을 도시로 보내죠. 우리는 또한 우유에서 치즈도 만듭니다."
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|"저는 양을 돌봅니다. 우리는 도시로 양모를 보내어 옷감을 짤 수 있게 만듭니다. 그리고 가축을 도살할 땐 양고기 소세지를 만들죠."
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|"저는 베틀로 일하죠, 양모에서 옷감을 짜냅니다. 울은 당신이 살 수 있는 옷감중 가장 저렴한 것중 하나입니다. 하지만 분명 당신을 따뜻하게 해주죠."
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|"저는 어선의 선원입니다. 우리는 소금에 절이거나 훈제한 생선들을 먼 내륙에 팝니다."
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|"저는 근처 여울에서 소금을 떠냅니다. 소금은 어디서나 고기나 생선을 보관하기 위해 필요하죠."
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|"저는 절벽 근처의 광맥에서 철을 캡니다. 그것들은 공구나 무기, 그리고 다른 상품을 만드는데 사용되죠."
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|"저는 사람들이 곡식을 보관하거나 물을 나르기 위해 쓰는 도자기를 만듭니다."
str_trade_explanation_tools|"저는 대장간에서 일을 합니다, {s0}. 모든 종류의 쇠붙이를 만들지요 -- 주머니칼, 도끼, 냄비, 쟁기, 낫, 망치, 모루, 집게, 자귀, 톱, 못, 말발굽, 부지깽이, 화로, 그리고 물론 당신을 위한 탁월한 무기와 갑옷들도."
str_trade_explanation_oil|"저는 착유기에서 일을 합니다, 시골에서 가져온 올리브로 기름을 만들고 있죠. 만약 당신이 형편이 된다면 우리의 기름은 제과, 램프, 심지어 출산을 용이하게하는 등 여러가지로 사용할 수 있어요."
str_trade_explanation_linen|"저는 주변 시골에서 가져온 아마를 사용하여 리넨을 엮습니다, {s0} -- 그것을 질기고 가볍게 하여 좋은 여름의류, 배의 돛 등을 만들죠."
str_trade_explanation_velvet|"저는 우리가 알고있는 벨벳을 조심스럽게 만드는 위대한 방직공 중의 한명입니다. 우리는 산맥 건너편에서 가져온 비단과 대륙의 구석에서 가져온 염료와 대륙에서 가장 비싼 최고의 직물을 사용합니다."
str_trade_explanation_spice|"저는 여관에서 상인들이 산맥 건너편에서 가져온 향신료를 내리는 걸 도와주는 일을 합니다. 후추, 계피, 정향, 사프란... 부자들은 그들의 음식에 들어가는 향신료의 양이 재산의 표현이고 모든 질병에 대해 향신료치료법을 이야기하죠."
str_trade_explanation_apples|"저는 과수원에 가서 사과를 키우는 일을 하고 있어요. 우리는 저장하기 위해 그것을 건조 시키거나, 그것을 사과주스나 식초로 만들 수 있습니다."
str_trade_explanation_grapes|"저는 언덕위의 과수원에서 포도를 키워 영주님이나 숙녀분들, 상인들의 식탁에 올라갈 좋은 와인이나 평민의 갈증해소를 위한 물을 섞은 싸구려 와인을 만드는 일을 합니다."
str_trade_explanation_dyes|"저는 이땅 외부 대륙에서 온 케러벤들에서 오크나무 딱정벌래와 꼭두서니 붉은뿌리의 진홍색, 인디고와 청색관목의 파란색, 용접점과 금작화류의 노란색 등의 염료를 내리는 일을 하고 있습니다. 방직공이 왕국의 훌륭한 길에 사용될 비단과 벨벳을 물들이는데 사용합니다."
str_trade_explanation_leatherwork|"저는 성벽외곽에서 주변 시골을 돌아 다니며 건조시킨 가죽을 무두질 공장에 공급하는 일을 하고 있습니다. 그 일은 악취나는 일이며 저의 집에 오시면 오줌, 똥, 그리고 석회냄새가 납니다. 하지만 가죽은 당신의 신발, 샌달, 그리고 말 굴레 어디든 사용됩니다, {s0}."
str_trade_explanation_flax|"저는 아마 씨앗과 뿌리줄기를 수확하여 바느질을 해서 아마 섬유를 만듭니다 -- 그것은 질 좋은 리넨제품의 원료입니다, {s0}."
str_trade_explanation_dates|"I tend to a grove of date palms. I hope you don't mind me saying so, but it takes great skill to tend them, as we must climb to the tops of the palms to ensure that the trees will flower. We export the fruit far and wide, as they keep for many months when properly dried. As sweet as honey, and they grant the eater health and strength."
str_trade_explanation_olives|"I tend to a grove of olive trees. You can eat the fruit or preserve it in brine, but we end up sending most of it to be pressed, to be made into oil."
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|"{s14}. 저는 {s15}에서 그것들이 좋은 가격에 팔린다고 들었습니다."
str_s2s_rebellion|"{s2}의 반란"
str_political_suggestion|"정치적 제안"
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|"불안정: {reg0}%의 영주들이 불만족, {reg1}%는 안절부절"
str_reg1shehe_is_prisoner_of_s1|"{reg1?그녀:그}는 {s1}의 포로입니다."
str_s39_rival|"{s39} (대적자)"
str_s41_s39_rival|"{s41}, {s39} (대적자)"
str_love_interest|"애정 상대"
str_betrothed|"약혼자"
str_other_relations_s40_|"기타 관계: {s40}^"
str_relation_with_liege_reg0_|"군주와의 관계: {reg0}^"
str_sense_of_security_military_reg1_court_position_reg3_|"보안 감각: 군사력 {reg1}, 궁정 위치 {reg3}^"
str_political_details_s47_|"정치적 세부사항:^{s47}^"
str_the_s55|"the {s55}"
str_travellers_on_the_road|"길 위의 여행자들"
str_a_short_while_ago|"얼마 전"
str_one_day_ago|"하루 전"
str_two_days_day_ago|"이틀 전"
str_earlier_this_week|"며칠 전"
str_about_a_week_ago|"일주일 전"
str_about_two_weeks_ago|"이주일 전"
str_several_weeks_ago|"몇주 전"
str_unknown_assailants|"알 수 없는 괴한들"
str_swadians|"톨라니안들"
str_vaegirs|"드라켄들"
str_khergits|"드라하란들"
str_nords|"믹카비안들"
str_rhodoks|"엘린토란들"
str_sarranids|"하코네세"
str_bandits|"도적들"
str_deserters|"탈영병들"
str_your_followers|"당신의 추종자"
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|"우리는 {s40}으로 향하는 여행자들로부터 {s46} 길에서 {s39}에게 습격당했다고 들었습니다."
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|"우리는 {s40}에서 온 여행자들로부터 {s46} 길에서 {s39}에게 습격당했다고 들었습니다. "
str_travellers_coming_from_s40_traded_here_s46|"{s46}에 {s40}으로 부터 온 여행자들이 이곳에서 교역을 했습니다. "
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|"아직 대상이 다닐 시기는 이르기 때문에, 저희는 작은 교역만 보았습니다.{s42}"
str_there_has_been_very_little_trading_activity_here_recentlys42|"최근까지 여기서 매우 작은 무역활동을 하고 있었습니다.{s42}"
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|"최근 이곳에는 몇몇 교역활동이 있었지만, 충분하지는 않습니다.{s42}"
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|"최근 이 곳에서는 몇몇 교역활동이 있었지만, 길들은 위험합니다.{s42}"
str_the_roads_around_here_are_very_dangerouss42|"이 근처 길들은 매우 위험합니다.{s42}"
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|"우리는 이곳 도시에서 많은 상인들을 받습니다, 물론 교역로에는 어느정도 위험은 있습니다.{s42}"
str_we_have_received_many_traders_in_town_heres42|"우리는 이곳 도시에서 많은 상인들을 받습니다.{s42}"
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|"{s44} 로 가는 대상 교역로와 그 근처에 대한 새로운 소식이 별로 없습니다. 그러나 무소식이 희소식이니 그들은 안전하다고 생각 되는군요."
str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|"{s47} 또한, {s44}로 가는 길과 다른 외진 마을들도 안전하다고 생각됩니다."
str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|"그러나, {s44}로 가는 길과 외진 마을들은 안전하다고 생각됩니다."
